"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15749","test","firefox","Mon Aug 11 08:08:36 BST 2025","passed","Mon Aug 11 08:08:52 BST 2025","","footerMovieTeaser.spec.js","",""
"","27279","Valid About Us Footer","chromium","Mon Aug 11 15:10:44 BST 2025","passed","Mon Aug 11 15:11:11 BST 2025","About Us footer","tests\features\footerAboutUs.feature.spec.js","",""
"","16005","test","chromium","Mon Aug 11 08:07:54 BST 2025","passed","Mon Aug 11 08:08:10 BST 2025","","footerGallery.spec.js","",""
"","3014","get started link","webkit","Mon Aug 11 08:08:51 BST 2025","passed","Mon Aug 11 08:08:54 BST 2025","","example.spec.js","",""
"","26518","Valid Award page Footer","firefox","Mon Aug 11 15:10:44 BST 2025","passed","Mon Aug 11 15:11:11 BST 2025","Award page footer","tests\features\footerAwards.feature.spec.js","",""
"","21226","test","firefox","Mon Aug 11 08:08:22 BST 2025","passed","Mon Aug 11 08:08:43 BST 2025","","footerGallery.spec.js","",""
"","13602","test","chromium","Mon Aug 11 08:07:54 BST 2025","passed","Mon Aug 11 08:08:08 BST 2025","","footerMovieTeaser.spec.js","",""
"","21689","test","chromium","Mon Aug 11 08:07:29 BST 2025","passed","Mon Aug 11 08:07:51 BST 2025","","footerAboutUs.spec.js","",""
"","7913","test","firefox","Mon Aug 11 08:08:43 BST 2025","passed","Mon Aug 11 08:08:51 BST 2025","","login.spec.js","",""
"","25344","test","firefox","Mon Aug 11 08:08:20 BST 2025","passed","Mon Aug 11 08:08:46 BST 2025","","footerBlog.spec.js","",""
"","12191","test","webkit","Mon Aug 11 08:09:14 BST 2025","passed","Mon Aug 11 08:09:26 BST 2025","","login.spec.js","",""
"","25020","Valid About Us Footer","firefox","Mon Aug 11 15:10:44 BST 2025","passed","Mon Aug 11 15:11:09 BST 2025","About Us footer","tests\features\footerAboutUs.feature.spec.js","",""
"","8645","has title","chromium","Mon Aug 11 08:07:29 BST 2025","passed","Mon Aug 11 08:07:38 BST 2025","","example.spec.js","",""
"","17587","Valid Award page Footer","webkit","Mon Aug 11 15:11:18 BST 2025","passed","Mon Aug 11 15:11:35 BST 2025","Award page footer","tests\features\footerAwards.feature.spec.js","",""
"","18232","test","chromium","Mon Aug 11 08:07:41 BST 2025","passed","Mon Aug 11 08:07:59 BST 2025","","footerBlog.spec.js","",""
"","21822","test","chromium","Mon Aug 11 08:07:29 BST 2025","passed","Mon Aug 11 08:07:51 BST 2025","","footerAward.spec.js","",""
"","20308","Valid Gallery page Footer","firefox","Tue Aug 12 03:20:46 BST 2025","passed","Tue Aug 12 03:21:06 BST 2025","Gallery page footer","tests\features\footerGallery.feature.spec.js","",""
"","19293","test","webkit","Mon Aug 11 08:08:54 BST 2025","passed","Mon Aug 11 08:09:13 BST 2025","","footerBlog.spec.js","",""
"","6314","get started link","firefox","Mon Aug 11 08:08:12 BST 2025","passed","Mon Aug 11 08:08:18 BST 2025","","example.spec.js","",""
"","17342","test","chromium","Mon Aug 11 08:07:41 BST 2025","passed","Mon Aug 11 08:07:58 BST 2025","","footerBiography.spec.js","",""
"","18832","test","webkit","Mon Aug 11 08:08:55 BST 2025","passed","Mon Aug 11 08:09:14 BST 2025","","footerAward.spec.js","",""
"","11581","test","webkit","Mon Aug 11 08:08:52 BST 2025","passed","Mon Aug 11 08:09:04 BST 2025","","footerBiography.spec.js","",""
"","8950","get started link","chromium","Mon Aug 11 08:07:29 BST 2025","passed","Mon Aug 11 08:07:38 BST 2025","","example.spec.js","",""
"","23","Valid subscribe button","firefox","Mon Aug 11 09:51:41 BST 2025","passed","Mon Aug 11 09:51:41 BST 2025","Subscribe on Home page","tests\features\login.feature.spec.js","",""
"","143","Valid subscribe button","webkit","Mon Aug 11 09:51:58 BST 2025","passed","Mon Aug 11 09:51:58 BST 2025","Subscribe on Home page","tests\features\login.feature.spec.js","",""
"","16787","Valid About Us Footer","webkit","Mon Aug 11 15:11:18 BST 2025","passed","Mon Aug 11 15:11:34 BST 2025","About Us footer","tests\features\footerAboutUs.feature.spec.js","",""
"","23933","Valid Gallery page Footer","chromium","Tue Aug 12 03:20:46 BST 2025","passed","Tue Aug 12 03:21:10 BST 2025","Gallery page footer","tests\features\footerGallery.feature.spec.js","",""
"","13243","test","chromium","Mon Aug 11 08:07:58 BST 2025","passed","Mon Aug 11 08:08:11 BST 2025","","login.spec.js","",""
"","20930","Valid Gallery page Footer","webkit","Tue Aug 12 03:20:46 BST 2025","passed","Tue Aug 12 03:21:07 BST 2025","Gallery page footer","tests\features\footerGallery.feature.spec.js","",""
"","7046","has title","firefox","Mon Aug 11 08:08:01 BST 2025","passed","Mon Aug 11 08:08:08 BST 2025","","example.spec.js","",""
"","19633","test","firefox","Mon Aug 11 08:08:15 BST 2025","passed","Mon Aug 11 08:08:34 BST 2025","","footerAboutUs.spec.js","",""
"","2179","has title","webkit","Mon Aug 11 08:08:50 BST 2025","passed","Mon Aug 11 08:08:52 BST 2025","","example.spec.js","",""
"","24076","test","firefox","Mon Aug 11 08:08:16 BST 2025","passed","Mon Aug 11 08:08:40 BST 2025","","footerBiography.spec.js","",""
"","27504","Valid Award page Footer","chromium","Mon Aug 11 15:10:44 BST 2025","passed","Mon Aug 11 15:11:12 BST 2025","Award page footer","tests\features\footerAwards.feature.spec.js","",""
"","20017","test","webkit","Mon Aug 11 08:08:55 BST 2025","passed","Mon Aug 11 08:09:15 BST 2025","","footerAboutUs.spec.js","",""
"","127","Valid subscribe button","chromium","Mon Aug 11 09:51:27 BST 2025","passed","Mon Aug 11 09:51:27 BST 2025","Subscribe on Home page","tests\features\login.feature.spec.js","",""
"","11896","test","firefox","Mon Aug 11 08:08:10 BST 2025","passed","Mon Aug 11 08:08:22 BST 2025","","footerAward.spec.js","",""
"","12095","test","webkit","Mon Aug 11 08:09:13 BST 2025","passed","Mon Aug 11 08:09:25 BST 2025","","footerMovieTeaser.spec.js","",""
"","11947","test","webkit","Mon Aug 11 08:09:04 BST 2025","passed","Mon Aug 11 08:09:16 BST 2025","","footerGallery.spec.js","",""
